Commune,Identifiant de référence,GMR_Nom_Complet,GDP_Nom_Complet,dep_nom,reg_nom,code_postal,Nom +Code,code_postal
PUTEAX, WINDO, CM-NTR GMR NORD OUEST, CM-NTR GDP CERGY, Hauts-de-Seine, Île-de-France, 92800, PUTEAUX (92800)
LYON 7E ARRONDISSEMENT, GIRO6, CM-LYO GMR LYONNAIS, CM-LYO GDP LYON PORTE DES ALPES, Rhône, Auvergne-Rhône-Alpes, 69007, LYON 7E ARRONDISSEMENT (69007)
